Train_Indices,Validation_Indices,Test_Indices
1,32771.0,0.0
2,5.0,6.0
3,13.0,10.0
4,17.0,11.0
7,32785.0,12.0
8,32789.0,18.0
9,23.0,19.0
14,29.0,20.0
15,30.0,21.0
16,32801.0,22.0
24,32806.0,27.0
25,41.0,32.0
26,43.0,34.0
28,46.0,35.0
31,32815.0,42.0
33,32820.0,51.0
36,53.0,62.0
37,57.0,69.0
38,32834.0,72.0
39,70.0,78.0
40,71.0,82.0
44,32843.0,85.0
45,76.0,86.0
47,83.0,104.0
48,32857.0,118.0
49,90.0,119.0
50,91.0,122.0
52,32860.0,126.0
54,98.0,131.0
55,32867.0,150.0
56,102.0,157.0
58,103.0,163.0
59,105.0,174.0
60,32874.0,183.0
61,32873.0,196.0
63,109.0,198.0
64,32878.0,200.0
65,111.0,202.0
66,32882.0,203.0
67,115.0,215.0
68,114.0,217.0
73,120.0,229.0
74,127.0,250.0
75,134.0,252.0
77,32903.0,262.0
79,138.0,263.0
80,32907.0,267.0
81,140.0,268.0
84,32908.0,275.0
87,32910.0,276.0
88,32911.0,281.0
89,144.0,282.0
92,148.0,287.0
93,32919.0,291.0
94,152.0,292.0
95,151.0,296.0
96,32925.0,299.0
97,32926.0,300.0
99,158.0,305.0
100,32929.0,306.0
101,32931.0,307.0
106,32932.0,312.0
107,32933.0,318.0
108,172.0,320.0
110,32941.0,321.0
112,175.0,323.0
113,177.0,327.0
116,32948.0,328.0
117,32949.0,339.0
121,182.0,341.0
123,189.0,347.0
124,32963.0,361.0
125,32965.0,365.0
128,201.0,374.0
129,32972.0,384.0
130,32973.0,386.0
132,32974.0,393.0
133,208.0,395.0
135,209.0,397.0
136,210.0,401.0
137,32976.0,408.0
139,32981.0,414.0
141,32986.0,416.0
142,32987.0,425.0
143,219.0,429.0
145,221.0,449.0
146,32990.0,451.0
147,32991.0,456.0
149,222.0,461.0
153,32989.0,465.0
154,226.0,466.0
155,227.0,469.0
156,224.0,473.0
159,33004.0,476.0
160,33007.0,477.0
161,241.0,480.0
162,33009.0,488.0
164,243.0,491.0
165,244.0,495.0
166,246.0,497.0
167,33016.0,513.0
168,33018.0,514.0
169,33019.0,519.0
170,33020.0,520.0
171,253.0,521.0
173,254.0,525.0
176,255.0,536.0
178,256.0,543.0
179,33025.0,545.0
180,258.0,549.0
181,33026.0,550.0
184,33028.0,563.0
185,261.0,570.0
186,264.0,571.0
187,265.0,574.0
188,33034.0,578.0
190,266.0,584.0
191,33036.0,589.0
192,270.0,591.0
193,33039.0,593.0
194,33042.0,599.0
195,33044.0,600.0
197,277.0,601.0
199,278.0,604.0
204,33049.0,610.0
205,284.0,616.0
206,33054.0,617.0
207,33055.0,624.0
211,288.0,631.0
212,290.0,637.0
213,33061.0,638.0
214,295.0,639.0
216,302.0,644.0
218,33071.0,646.0
220,304.0,671.0
223,33073.0,673.0
225,33080.0,676.0
228,33081.0,683.0
230,315.0,685.0
231,33085.0,687.0
232,325.0,688.0
233,33095.0,690.0
234,331.0,700.0
235,340.0,705.0
236,33110.0,706.0
237,33118.0,707.0
238,33120.0,708.0
239,33122.0,714.0
240,33125.0,718.0
242,33129.0,722.0
245,33141.0,729.0
247,33143.0,730.0
248,33144.0,732.0
249,383.0,734.0
251,390.0,740.0
257,396.0,743.0
259,33167.0,744.0
260,399.0,745.0
269,402.0,746.0
271,33171.0,752.0
272,404.0,754.0
273,33172.0,762.0
274,406.0,767.0
279,33177.0,777.0
280,33183.0,781.0
283,419.0,783.0
285,420.0,786.0
286,33187.0,788.0
289,33193.0,790.0
293,33194.0,805.0
294,33195.0,806.0
297,430.0,810.0
298,33198.0,812.0
301,432.0,821.0
303,434.0,825.0
308,33203.0,826.0
309,435.0,833.0
310,437.0,834.0
311,438.0,840.0
313,441.0,843.0
314,442.0,850.0
316,443.0,851.0
317,33212.0,852.0
319,448.0,853.0
322,33220.0,856.0
324,453.0,857.0
326,455.0,858.0
329,457.0,859.0
330,33226.0,867.0
332,462.0,882.0
333,463.0,888.0
334,33236.0,894.0
335,468.0,906.0
336,33237.0,925.0
337,33240.0,926.0
338,33241.0,929.0
342,475.0,931.0
343,33251.0,941.0
344,33254.0,942.0
345,494.0,949.0
346,498.0,951.0
348,33269.0,979.0
349,505.0,984.0
350,509.0,986.0
351,33278.0,989.0
352,512.0,990.0
353,33281.0,993.0
354,33286.0,1007.0
355,33289.0,1011.0
356,33290.0,1013.0
357,33292.0,1016.0
358,33293.0,1017.0
359,526.0,1023.0
360,33297.0,1024.0
362,33298.0,1040.0
363,529.0,1041.0
364,537.0,1043.0
366,33307.0,1049.0
367,33308.0,1057.0
368,541.0,1060.0
369,33309.0,1061.0
370,33314.0,1066.0
371,33316.0,1070.0
372,548.0,1074.0
373,553.0,1076.0
375,554.0,1078.0
376,33323.0,1081.0
377,558.0,1089.0
378,564.0,1091.0
379,565.0,1096.0
380,33341.0,1099.0
381,33344.0,1115.0
382,579.0,1116.0
385,33349.0,1119.0
387,582.0,1135.0
388,33351.0,1138.0
389,583.0,1148.0
391,585.0,1150.0
392,33353.0,1151.0
394,586.0,1152.0
398,588.0,1163.0
400,33356.0,1164.0
403,33366.0,1172.0
405,602.0,1177.0
407,606.0,1184.0
409,33376.0,1193.0
410,608.0,1199.0
411,611.0,1202.0
412,33380.0,1204.0
413,613.0,1205.0
415,33382.0,1210.0
417,614.0,1211.0
418,33383.0,1222.0
421,620.0,1225.0
422,33390.0,1228.0
423,625.0,1234.0
424,33393.0,1246.0
426,628.0,1249.0
427,629.0,1250.0
428,33398.0,1256.0
431,33399.0,1257.0
433,33406.0,1264.0
436,641.0,1265.0
439,643.0,1267.0
440,645.0,1268.0
444,648.0,1278.0
445,649.0,1279.0
446,33420.0,1289.0
447,655.0,1290.0
450,33425.0,1293.0
452,33427.0,1304.0
454,659.0,1306.0
458,33431.0,1307.0
459,665.0,1308.0
460,666.0,1317.0
464,33435.0,1338.0
467,668.0,1341.0
470,33437.0,1342.0
471,674.0,1344.0
472,33445.0,1354.0
474,678.0,1356.0
478,680.0,1358.0
479,33449.0,1362.0
481,33451.0,1365.0
482,33454.0,1366.0
483,689.0,1368.0
484,695.0,1373.0
485,698.0,1396.0
486,701.0,1402.0
487,33474.0,1404.0
489,33477.0,1406.0
490,709.0,1410.0
492,712.0,1413.0
493,716.0,1415.0
496,720.0,1426.0
499,33491.0,1429.0
500,33498.0,1430.0
501,33499.0,1436.0
502,33500.0,1441.0
503,733.0,1447.0
504,735.0,1453.0
506,33508.0,1456.0
507,33509.0,1460.0
508,742.0,1462.0
510,741.0,1463.0
511,33511.0,1465.0
515,751.0,1467.0
516,33521.0,1473.0
517,753.0,1474.0
518,755.0,1488.0
522,757.0,1491.0
523,764.0,1495.0
524,772.0,1496.0
527,33541.0,1497.0
528,773.0,1498.0
530,774.0,1508.0
531,778.0,1519.0
532,780.0,1520.0
533,33550.0,1523.0
534,33552.0,1530.0
535,792.0,1534.0
538,802.0,1541.0
539,803.0,1554.0
540,33571.0,1558.0
542,808.0,1579.0
544,809.0,1581.0
546,33579.0,1586.0
547,813.0,1587.0
551,815.0,1591.0
552,823.0,1600.0
555,824.0,1607.0
556,33593.0,1611.0
557,33596.0,1618.0
559,830.0,1619.0
560,831.0,1623.0
561,33607.0,1630.0
562,33608.0,1635.0
566,33609.0,1640.0
567,33611.0,1644.0
568,33613.0,1660.0
569,846.0,1684.0
572,33617.0,1685.0
573,33618.0,1686.0
575,854.0,1687.0
576,33628.0,1703.0
577,861.0,1713.0
580,862.0,1718.0
581,33631.0,1725.0
587,864.0,1727.0
590,33641.0,1729.0
592,874.0,1730.0
594,875.0,1732.0
595,33647.0,1736.0
596,880.0,1738.0
597,881.0,1740.0
598,884.0,1744.0
603,885.0,1753.0
605,893.0,1757.0
607,895.0,1760.0
609,896.0,1761.0
612,901.0,1766.0
615,905.0,1773.0
618,33675.0,1790.0
619,909.0,1797.0
621,911.0,1807.0
622,912.0,1811.0
623,913.0,1813.0
626,33683.0,1818.0
627,916.0,1837.0
630,33689.0,1839.0
632,922.0,1845.0
633,33693.0,1852.0
634,927.0,1856.0
635,932.0,1867.0
636,934.0,1869.0
640,939.0,1877.0
642,33710.0,1879.0
647,33711.0,1880.0
650,33712.0,1886.0
651,946.0,1887.0
652,33715.0,1888.0
653,947.0,1890.0
654,953.0,1893.0
656,955.0,1894.0
657,956.0,1898.0
658,965.0,1901.0
660,967.0,1908.0
661,33735.0,1909.0
662,33737.0,1913.0
663,33742.0,1915.0
664,980.0,1916.0
667,981.0,1917.0
669,33750.0,1920.0
670,985.0,1928.0
672,33753.0,1929.0
675,988.0,1930.0
677,33759.0,1931.0
679,33761.0,1932.0
681,1001.0,1934.0
682,1002.0,1937.0
684,1003.0,1957.0
686,1008.0,1965.0
691,1010.0,1968.0
692,1026.0,1972.0
693,1032.0,1976.0
694,1048.0,1990.0
696,1055.0,1995.0
697,1058.0,1997.0
699,1062.0,2012.0
702,1063.0,2014.0
703,1064.0,2016.0
704,1069.0,2017.0
710,1075.0,2019.0
711,1084.0,2036.0
713,1085.0,2037.0
715,1094.0,2038.0
717,1102.0,2039.0
719,1103.0,2044.0
721,1105.0,2048.0
723,1107.0,2050.0
724,1108.0,2051.0
725,1109.0,2056.0
726,1121.0,2057.0
727,1125.0,2058.0
728,1126.0,2068.0
731,1127.0,2070.0
736,1130.0,2071.0
737,1139.0,2077.0
738,1156.0,2078.0
739,1157.0,2089.0
747,1158.0,2097.0
748,1165.0,2107.0
749,1170.0,2111.0
750,1198.0,2112.0
756,1203.0,2114.0
758,1208.0,2120.0
759,1209.0,2121.0
760,1214.0,2126.0
761,1215.0,2138.0
763,1216.0,2140.0
765,1232.0,2149.0
766,1243.0,2150.0
768,1245.0,2154.0
769,1261.0,2163.0
770,1263.0,2174.0
771,1271.0,2176.0
775,1276.0,2179.0
776,1281.0,2181.0
779,1283.0,2192.0
782,1285.0,2199.0
784,1291.0,2200.0
785,1305.0,2208.0
787,1318.0,2213.0
789,1321.0,2215.0
791,1326.0,2217.0
793,1327.0,2219.0
794,1337.0,2224.0
795,1345.0,2231.0
796,1349.0,2238.0
797,1359.0,2242.0
798,1364.0,2243.0
799,1367.0,2246.0
800,1369.0,2254.0
801,1370.0,2264.0
804,1379.0,2269.0
807,1380.0,2275.0
811,1390.0,2277.0
814,1393.0,2281.0
816,1394.0,2292.0
817,1399.0,2299.0
818,1407.0,2304.0
819,1420.0,2308.0
820,1422.0,2315.0
822,1455.0,2321.0
827,1466.0,2331.0
828,1476.0,2334.0
829,1490.0,2338.0
